"Sample_ID","lat_N","lon_E","Nutricline_1uM_Interp","Phosphate_surfBottle","Silicate_surfBottle","Nitrate_NitriteBottle","CTD_salinity","Temp_SST","Cruise","Metagenome_Sample_ID","Omega_P","Omega_N","Omega_Fe"
"C132020_235_nifH",36.09095667,-74.56783667,0,NA,NA,NA,NA,21.237,"C13",NA,NA,NA,NA
"C132020_235V1_nifH",36.09095667,-74.56783667,0,NA,NA,NA,NA,21.237,"C13","C132020_235V1_META",1.972338572,-0.768806221,-0.709565896
"I9N2016_001_nifH",-31.03351833,110.454745,0,0,0,NA,0,21.3661,"IO9","I9N2016_001_META",-0.30549194,0.068628932,-0.5494633
"I9N2016_002_nifH",-30.847645,109.3879133,0,0,0,NA,0,21.7643,"IO9","I9N2016_002_META",-0.61829362,0.344869754,-0.143875693
"I9N2016_003_nifH",-30.697225,108.5244233,0,0,0,NA,0,22.663,"IO9","I9N2016_003_META",-0.467473,-0.146788108,-0.148997398
"I9N2016_004_nifH",-30.53899167,107.6533167,0,0,0,NA,0,20.7011,"IO9","I9N2016_004_META",-0.253891206,-0.313918728,-0.311520056
"I9N2016_005_nifH",-30.35828167,106.5834183,0,0,0,NA,0,20.651,"IO9","I9N2016_005_META",-0.452158335,-0.113134003,-0.020680447
"I9N2016_006_nifH",-30.20731667,105.7208333,0,0,0,NA,0,20.5001,"IO9","I9N2016_006_META",-0.590983956,0.150440159,-0.121465021
"I9N2016_007_nifH",-30.04414167,104.78665,0,0,0,NA,0,21.008,"IO9","I9N2016_007_META",-0.604907265,0.117763571,0.164550095
"I9N2016_008_nifH",-29.86416333,103.7665767,0,0,0,NA,0,21.172,"IO9","I9N2016_008_META",-0.614788688,0.280095069,0.005217127
"I9N2016_009_nifH",-29.72640833,103.0054317,0,0,0,NA,0,21.1,"IO9","I9N2016_009_META",-0.614388586,0.246559212,-0.078448363
"I9N2016_010_nifH",-29.51510333,101.7850733,0,0,0,NA,0,21.2409,"IO9","I9N2016_010_META",-0.623471571,0.127995569,-0.271898396
"I9N2016_011_nifH",-29.33483333,100.7626333,0,0,0,NA,0,20.985,"IO9","I9N2016_011_META",-0.632497902,0.193560821,0.056350028
"I9N2016_012_nifH",-29.17783333,99.87768333,0,0,0,NA,0,21.228,"IO9","I9N2016_012_META",-0.661083479,1.028889213,0.437284918
"I9N2016_013_nifH",-28.99425,98.82815,0,0,0,NA,0,21.8008,"IO9","I9N2016_013_META",-0.670187453,0.818983231,0.048040219
"I9N2016_014_nifH",-28.85980667,98.06016667,0,0,0,NA,0,22.6951,"IO9","I9N2016_014_META",-0.651864825,0.578264913,-0.206161509
"I9N2016_015_nifH",-28.7014,97.17873333,0,0,0,NA,0,22.764,"IO9","I9N2016_015_META",-0.663117737,0.87306414,0.150555058
"I9N2016_016_nifH",-28.538475,96.26343333,0,0,0,NA,0,23.183,"IO9","I9N2016_016_META",-0.662831136,1.041323954,0.225860848
"I9N2016_017_nifH",-28.313,94.99976667,147.5,0.07,1.3,NA,36.0117,22.815,"IO9","I9N2016_017_META",-0.662884911,0.74247528,0.135649787
"I9N2016_018_nifH",-27.71131667,95.00041667,148.8,0.07,1.5,NA,35.8848,22.297,"IO9","I9N2016_018_META",-0.672222718,1.099910223,0.146102663
"I9N2016_019_nifH",-27.32501333,94.999925,159.45,0.065,1.5,NA,35.8294,23.835,"IO9","I9N2016_019_META",-0.678349076,0.979956293,-0.056286608
"I9N2016_020_nifH",-27.10752667,94.999515,170.1,0.06,1.5,NA,35.774,23.959,"IO9","I9N2016_020_META",-0.66906493,0.937376644,-0.002422761
"I9N2016_021_nifH",-26.51743667,94.99948833,178.7,0.09,1.5,NA,35.6578,24.062,"IO9","I9N2016_021_META",-0.674737404,0.948225749,0.277856123
"I9N2016_022_nifH",-25.99,94.99983333,167.95,0.08,1.4,NA,35.64865,24.308,"IO9","I9N2016_022_META",-0.672464426,0.810829407,-0.126987341
"I9N2016_023_nifH",-25.9047,95.00018333,157.2,0.07,1.3,NA,35.6395,24.714,"IO9","I9N2016_023_META",-0.666536366,0.811888643,0.011344757
"I9N2016_024_nifH",-25.631,94.99998333,161.9,0.06,1.35,NA,35.6445,24.671,"IO9","I9N2016_024_META",-0.659906207,0.579800718,0.028516486
"I9N2016_025_nifH",-25.33494667,94.99956333,166.6,0.05,1.4,NA,35.6495,24.715,"IO9","I9N2016_025_META",-0.667666197,0.635815048,-0.048241282
"I9N2016_026_nifH",-24.964705,95.00005,160.25,0.06,1.4,NA,35.722,24.497,"IO9","I9N2016_026_META",-0.670945398,0.836692366,0.123800753
"I9N2016_027_nifH",-24.73236167,94.999745,153.9,0.07,1.4,NA,35.7945,24.417,"IO9","I9N2016_027_META",-0.642784307,1.182059374,-0.141026527
"I9N2016_028_nifH",-24.46383333,94.99998333,165.2,0.07,1.35,NA,35.7524,24.171,"IO9","I9N2016_028_META",-0.680536784,0.950964591,0.577469761
"I9N2016_029_nifH",-24.13695,94.9999,176.5,0.07,1.3,NA,35.7103,24.025,"IO9","I9N2016_029_META",-0.677524042,0.922099787,0.189274177
"I9N2016_030_nifH",-23.87966667,95,171.05,0.06,1.35,NA,35.5803,24.722,"IO9","I9N2016_030_META",-0.645100053,0.616197647,-0.244478656
"I9N2016_031_nifH",-23.55864,95.00007833,165.6,0.05,1.4,NA,35.4503,24.916,"IO9","I9N2016_031_META",-0.663139549,0.477298063,-0.059908332
"I9N2016_032_nifH",-23.30011667,95.00006667,149.55,0.06,1.35,NA,35.3752,24.966,"IO9","I9N2016_032_META",-0.674308668,0.70488425,0.064934369
"I9N2016_033_nifH",-23.01573,94.99948833,133.5,0.07,1.3,NA,35.3001,25.2329,"IO9","I9N2016_033_META",-0.672939872,0.70216826,0.08269745
"I9N2016_034_nifH",-22.69903833,95.00007333,140.6,0.07,1.3,NA,35.3753,25.611,"IO9","I9N2016_034_META",-0.671498795,0.587488138,-0.101104865
"I9N2016_035_nifH",-22.45331667,94.99991667,147.7,0.07,1.3,NA,35.4505,25.167,"IO9","I9N2016_035_META",-0.671604694,0.588771114,-0.119192106
"I9N2016_036_nifH",-22.16274167,94.99999167,146.35,0.0675,1.275,NA,35.32255,25.065,"IO9","I9N2016_036_META",-0.666302914,0.625928931,-0.190922499
"I9N2016_037_nifH",-21.87999167,95.00052333,145,0.065,1.25,NA,35.1946,25.939,"IO9","I9N2016_037_META",-0.666262228,0.591845322,-0.192400174
"I9N2016_038_nifH",-21.609655,95.00000333,164.2,0.0625,1.225,NA,35.06665,26.162,"IO9","I9N2016_038_META",-0.658412882,0.658454714,-0.182791483
"I9N2016_039_nifH",-21.31626,95.00004667,183.4,0.06,1.2,NA,34.9387,26.4819,"IO9","I9N2016_039_META",-0.673736291,0.547523063,-0.316394802
"I9N2016_040_nifH",-20.76323333,94.99995,148.4,0.08,1.4,NA,35.0102,26.659,"IO9","I9N2016_040_META",-0.666485358,0.60364791,-0.103187524
"I9N2016_041_nifH",-20.53258333,94.99991667,132.05,0.08,1.35,NA,35.0106,26.3071,"IO9","I9N2016_041_META",-0.668073852,0.559603129,-0.198609722
"I9N2016_042_nifH",-20.19993333,94.99988333,115.7,0.08,1.3,NA,35.011,26.4678,"IO9","I9N2016_042_META",-0.669607697,0.348476635,-0.167430343
"I9N2016_043_nifH",-19.88864167,94.99995,120.25,0.065,1.3,NA,35.00825,26.429,"IO9","I9N2016_043_META",-0.665033232,0.639795775,-0.264778964
"I9N2016_044_nifH",-19.638,95,124.8,0.05,1.3,NA,35.0055,26.368,"IO9","I9N2016_044_META",-0.675256198,0.510791291,-0.198440605
"I9N2016_045_nifH",-19.26468667,94.99994,113.75,0.05,1.4,NA,35.01175,26.495,"IO9","I9N2016_045_META",-0.673207034,0.397708352,-0.11628593
"I9N2016_046_nifH",-19.08323167,94.99971167,102.7,0.05,1.5,NA,35.018,26.6247,"IO9","I9N2016_046_META",-0.672713035,0.571284502,-0.020267868
"I9N2016_047_nifH",-18.79433333,94.99996667,109.05,0.05,1.4,NA,34.99055,26.515,"IO9","I9N2016_047_META",-0.673205419,0.610949966,-0.368394597
"I9N2016_048_nifH",-18.51885,94.99981667,115.4,0.05,1.3,NA,34.9631,26.596,"IO9","I9N2016_048_META",-0.669380843,0.539339803,-0.092519097
"I9N2016_049_nifH",-18.23333333,95,124.65,0.045,1.35,NA,34.9472,26.866,"IO9","I9N2016_049_META",-0.665254439,0.494157786,-0.222439747
"I9N2016_050_nifH",-17.96308333,94.99973167,133.9,0.04,1.4,NA,34.9313,27.0409,"IO9","I9N2016_050_META",-0.669485462,0.598638508,0.121232137
"I9N2016_051_nifH",-17.62802833,94.9999,132.05,0.045,1.3,NA,34.8654,27.1319,"IO9","I9N2016_051_META",-0.662667039,0.76164503,-0.104812552
"I9N2016_052_nifH",-17.39955333,95,130.2,0.05,1.2,NA,34.7995,27.224,"IO9","I9N2016_052_META",-0.661135912,0.714528093,-0.281573492
"I9N2016_053_nifH",-17.095345,94.99996667,115.5,0.045,1.3,NA,34.86235,27.217,"IO9","I9N2016_053_META",-0.671326883,0.667333979,-0.066003566
"I9N2016_054_nifH",-16.83782167,94.99977667,100.8,0.04,1.4,NA,34.9252,27.2169,"IO9","I9N2016_054_META",-0.674683457,0.710797667,-0.035876782
"I9N2016_055_nifH",-16.58149667,95.00015,106.5,0.035,1.55,NA,34.9504,27.248,"IO9","I9N2016_055_META",-0.632262568,0.80948477,-0.124999046
